steerCmd,brakeCmd,throttleCmd,distance
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.55146575280065
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.54399101203302
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.5393396203986
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.53380761013688
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.5091591716568
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.51620989251762
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.509165474898
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.50304546653467
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.49625849462694
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.49119999473865
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.4839641035242
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.47718044365737
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.47206660030642
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.46033555375047
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.45564096937042
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.44972498794309
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.441759960407
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.43737690664088
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.42830876012613
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.42371934499369
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.41025526932643
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.39389111961145
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.38232890433173
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.36099735990751
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.3197228083757
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.30373955416837
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.24529615620563
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.24473243759368
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.19888843314828
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.15529968895373
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.13697092564178
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.10844576472138
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.0617792185937
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,175.04269443226
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,174.99323358899244
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,174.9443684386409
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,174.9443684386409
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,174.89171769190455
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,174.8419612954977
